une bonne suite pour les aventures de sonic au cinéma deja le premier film était super bienun bon divertissement pour toute la famille avec un jim carrey en pleine formeune suite explosive trop cool,"4,0"
une bonne suite pour les aventures de sonic au cinéma deja le premier film était super bienun bon divertissement pour toute la famille avec un jim carrey en pleine formeune suite explosive trop cool,"4,0"
"Cette suite de sonic est incroyable !Le fan que je suis est ravi, en 1992 quand j y jouais sur megadrive on m aurait montré ce film je serais devenu dingue !L univers du jeu est parfaitement respecté, avec amour et passion 
spoiler: 
 Tails et son avion, knuckle, robotnik et ses robot guêpes, sonic au fond de l eau qui absorbe des bulles d oxygene, les émeraudes, les clins d œil à droite à gauche qui rendent hommage au jeu, et bon sang la transformation en SUPER SONIC !!!!! Juste magnifique 
 l'histoire est toujours aussi sympathique avec Sonic et sa petite famille adoptive, et Jim Carrey est incroyable en Eggman...Ce film est une merveille vivement la suite","5,0"
une bonne suite pour les aventures de sonic au cinéma deja le premier film était super bienun bon divertissement pour toute la famille avec un jim carrey en pleine formeune suite explosive trop cool,"4,0"
"Cette suite de sonic est incroyable !Le fan que je suis est ravi, en 1992 quand j y jouais sur megadrive on m aurait montré ce film je serais devenu dingue !L univers du jeu est parfaitement respecté, avec amour et passion 
spoiler: 
 Tails et son avion, knuckle, robotnik et ses robot guêpes, sonic au fond de l eau qui absorbe des bulles d oxygene, les émeraudes, les clins d œil à droite à gauche qui rendent hommage au jeu, et bon sang la transformation en SUPER SONIC !!!!! Juste magnifique 
 l'histoire est toujours aussi sympathique avec Sonic et sa petite famille adoptive, et Jim Carrey est incroyable en Eggman...Ce film est une merveille vivement la suite","5,0"
Très bon film ont retrouve ce qui fait l’esprit de Sonic dans ce film clairement un cran en plus du premier je trouve est reste un très bon film d’aventure d’action familiale pour toutes la famille foncé le voir vous ne s’aurait pas déçu 😉😊,"4,5"
une bonne suite pour les aventures de sonic au cinéma deja le premier film était super bienun bon divertissement pour toute la famille avec un jim carrey en pleine formeune suite explosive trop cool,"4,0"
"Cette suite de sonic est incroyable !Le fan que je suis est ravi, en 1992 quand j y jouais sur megadrive on m aurait montré ce film je serais devenu dingue !L univers du jeu est parfaitement respecté, avec amour et passion 
spoiler: 
 Tails et son avion, knuckle, robotnik et ses robot guêpes, sonic au fond de l eau qui absorbe des bulles d oxygene, les émeraudes, les clins d œil à droite à gauche qui rendent hommage au jeu, et bon sang la transformation en SUPER SONIC !!!!! Juste magnifique 
 l'histoire est toujours aussi sympathique avec Sonic et sa petite famille adoptive, et Jim Carrey est incroyable en Eggman...Ce film est une merveille vivement la suite","5,0"
Très bon film ont retrouve ce qui fait l’esprit de Sonic dans ce film clairement un cran en plus du premier je trouve est reste un très bon film d’aventure d’action familiale pour toutes la famille foncé le voir vous ne s’aurait pas déçu 😉😊,"4,5"
"Super film de ouf, le fait que Knuckles soit du côté d'Eggman au début, les références aux jeux de base et la fidélité aux jeux de base c'est vraiment un truc que j'ai vachement apprécié dans tout le film, l'inclusion de Tails, Knuckles, la Master Emerald
spoiler: 
, les Chaos Emeralds et même SUPER SONIC
 c'est vraiment très fun à regarder en tant que fan de Sonic surtout les scènes où Sonic court vite (ça semble bête à dire comme ça mais 
spoiler: 
par exemple la scène où Sonic court sur l'eau et esquive les vagues
 c'est vraiment cool), 
spoiler: 
la scène de course poursuite entre Knuckles et Sonic & Tails, dans le temple de la Master Emerald, et surtout le combat final
 bref y'a plein de trucs très stylés dans ce film, la CGI marche super bien, la VF est bien notamment Sonic Tails et Knuckles qui ont des super voix, même Sonic n'en déplaise à tous les haters de Malik Bentalha bref c'est un film très sympa même si 
spoiler: 
y'a des scènes avec les humains franchement pas super utiles mais qui sont plus fun que dans le premier
 donc ça va tranquille. 
spoiler: 
Puis la scène post-crédit qui annonce un 3 avec SHADOW ça me hype bien","4,0"
